line,character,dialogue,Russian,Hindi
31,BIGGS,"Just now.  I wanted to surprise you, hot shot.  I thought you'd be here... certainly didn't expect you to be out working. ","Прямо сейчас.Я хотел вас удивить, горячий выстрел.Я думал, что ты будешь здесь ... Конечно, не ожидал, что ты будешь работать.","बस अब।मैं आपको आश्चर्यचकित करना चाहता था, हॉट शॉट।मुझे लगा कि आप यहां होंगे ... निश्चित रूप से आप काम करने की उम्मीद नहीं करते हैं।"
32,LUKE,"The Academy didn't change you much... but you're back so soon?  Hey, what happened, didn't you get your commission?","Академия не сильно изменила вас ... но вы вернулись так скоро?Эй, что случилось, ты не получил свою комиссию?","अकादमी ने आपको ज्यादा नहीं बदला ... लेकिन आप इतनी जल्दी वापस आ गए हैं?अरे, क्या हुआ, क्या आपको अपना कमीशन नहीं मिला?"
33,BIGGS,Of course I got it.  Signed aboard The Rand Ecliptic last week.  First mate Biggs Darklighter at your service...... I just came back to say goodbye to all you unfortunate landlocked simpletons.,"Конечно, я понял.Подписано на борту Rand Ecliptic на прошлой неделе.Первый приятель Биггс Дарклгер на вашем службе ... Я только что вернулся, чтобы попрощаться со всеми вам, несчастными простами на выходе из выхода выхода из выхода выхода на вызов.",बेशक मुझे मिल गया।पिछले हफ्ते रैंड एक्लिप्टिक पर हस्ताक्षर किए।अपनी सेवा में पहले मेट बिग्स डार्कलाइटर ...... मैं अभी वापस आया था कि आप सभी को अलविदा कहें।
34,LUKE,I almost forgot.  There's a battle going on!  Right here in our system.  Come and look!,"Я почти забыл.Проходит битва!Прямо здесь, в нашей системе.Приходите и посмотрите!",मैं तो भूल ही गया।वहाँ एक लड़ाई चल रही है!यहीं हमारे सिस्टम में।आओ देखो!
35,DEAK,Not again!  Forget it.,Не снова!Забудь это.,फिर नहीं!रहने भी दो।
36,LUKE,There they are!,Там они!,वे वहां हैं!
37,BIGGS,"That's no battle, hot shot... they're just sitting there!  Probably a freighter-tanker refueling.","Это не битва, горячий выстрел ... они просто сидят там!Вероятно, заправка грузового банка.","यह कोई लड़ाई नहीं है, गर्म शॉट ... वे बस वहाँ बैठे हैं!संभवतः एक फ्रीटर-टैंकर ईंधन भर रहा है।"
38,LUKE,But there was a lot of firing earlier...,Но раньше было много стрельбы ...,लेकिन पहले बहुत फायरिंग हुई थी ...
39,LUKE,"Hey, easy with those...","Эй, легко с этими ...","अरे, उन के साथ आसान ..."
40,CAMIE,"Don't worry about it, Wormie.","Не беспокойся об этом, черт.","इसके बारे में चिंता मत करो, वर्मी।"
41,FIXER,"I keep telling you, the Rebellion is a long way from here.  I doubt if the Empire would even fight to keep this system.  Believe me Luke, this planet is a big hunk of nothing...","Я продолжаю говорить вам, восстание уже далеко.Я сомневаюсь, что Империя даже будет бороться, чтобы сохранить эту систему.Поверьте мне, Люк, эта планета - большая кусок ничего ...","मैं आपको बताता रहता हूं, विद्रोह यहां से एक लंबा रास्ता है।मुझे संदेह है कि क्या साम्राज्य भी इस प्रणाली को बनाए रखने के लिए लड़ेंगे।मेरा विश्वास करो ल्यूक, यह ग्रह कुछ भी नहीं का एक बड़ा हंक है ..."
42,LEIA,"Lord Vader, I should have known.  Only you could be so bold.  The Imperial Senate will not sit stillfor this, when they hear you've attacked a diplomatic...","Лорд Вейдер, я должен был знать.Только ты мог быть таким смелым.Сенат имперства не будет сидеть на месте для этого, когда они услышат, что вы напали на дипломатику ...","लॉर्ड वाडर, मुझे पता होना चाहिए था।केवल आप इतने बोल्ड हो सकते हैं।इंपीरियल सीनेट इसके लिए अभी भी नहीं बैठेगा, जब वे सुनते हैं कि आपने एक राजनयिक पर हमला किया है ..."
43,VADER,"Don't play games with me, Your Highness.  You weren't on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies.  I want to know what happened to the plans they sent you.","Не играй со мной в игры, твое высочество.На этот раз вы не были на миссии по милости.Вы проходили прямо через ограниченную систему.Несколько трансмиссий были переданы на этот корабль шпионами повстанцев.Я хочу знать, что случилось с планами, которые они вам отправили.","मेरे साथ, अपनी महारानी के साथ खेल मत खेलो।आप इस बार किसी भी दया मिशन पर नहीं थे।आप सीधे एक प्रतिबंधित प्रणाली से गुजरते हैं।विद्रोही जासूसों द्वारा इस जहाज पर कई प्रसारणों को मुस्कुराया गया था।मैं जानना चाहता हूं कि उन्होंने आपको जो योजनाओं को भेजा था, उसका क्या हुआ।"
44,LEIA,I don't know what you're talking about.  I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...,"Я не знаю, о чем ты говоришь.Я член Имперского Сената по дипломатической миссии в Олдераан ...",मुझे नहीं पता कि आप किस बारे में बात कर रहे हैं।मैं एल्डेरन के लिए एक राजनयिक मिशन पर इंपीरियल सीनेट का सदस्य हूं ...
45,VADER,You're a part of the Rebel Alliance... and a traitor.  Take her away!,Вы являетесь частью альянса повстанцев ... и предателя.Забрать ее!,आप विद्रोही गठबंधन का एक हिस्सा हैं ... और एक गद्दार।उसे यहाँ से ले जाओ!
46,COMMANDER,"Holding her is dangerous.  If word of this gets out, it could generate sympathy for the Rebellion in the senate.","Держать ее опасно.Если слово об этом выйдет, это может вызвать сочувствие к восстанию в Сенате.","उसे पकड़ना खतरनाक है।यदि इसका शब्द निकल जाता है, तो यह सीनेट में विद्रोह के लिए सहानुभूति पैदा कर सकता है।"
47,VADER,I have traced the Rebel spies to her.  Now she is my only link to find their secret base!,"Я проследил ей шпионов повстанцев.Теперь она моя единственная ссылка, чтобы найти их секретную базу!",मैंने उसके लिए विद्रोही जासूसों का पता लगाया है।अब वह अपने गुप्त आधार को खोजने के लिए मेरी एकमात्र कड़ी है!
48,COMMANDER,you anything.,ты что угодно.,आप कुछ भी।
49,VADER,Leave that to me.  Send a distress signal and then inform the senate that all aboard were killed!,"Оставь это мне.Отправьте сигнал бедствия, а затем сообщите Сенату, что все на борту были убиты!",मुझ पर छोड़ दो।एक संकट सिग्नल भेजें और फिर सीनेट को सूचित करें कि सभी सवार हो गए थे!
50,SECOND OFFICER,"Lord Vader, the battle station plans are not aboard this ship!  And no transmissions were made.  An escape pod was jettisoned during the fighting, but no life forms were aboard.","Лорд Вейдер, планы боевой станции не на этом корабле!И никаких передач не было сделано.Во время боя была отброшена капсула, но на борту не было никаких форм жизни.","लॉर्ड वाडर, बैटल स्टेशन की योजना इस जहाज पर सवार नहीं हैं!और कोई प्रसारण नहीं किया गया था।लड़ाई के दौरान एक भागने वाली फली को जेटी किया गया था, लेकिन कोई भी जीवन रूप नहीं था।"
51,VADER,"She must have hidden the plans in the escape pod.  Send a detachment down to retrieve them.  See to it personally, Commander.  There'll be no one to stop us this time.","Она, должно быть, скрыла планы в капсуле побега.Отправьте отряд, чтобы забрать их.Смотрите на это лично, командир.На этот раз нам не будет никого.","उसने एस्केप पॉड में योजनाओं को छिपाया होगा।उन्हें पुनः प्राप्त करने के लिए एक टुकड़ी नीचे भेजें।इसे व्यक्तिगत रूप से देखें, कमांडर।इस बार हमें रोकने के लिए कोई नहीं होगा।"
52,COMMANDER,"Yes, sir.",Да сэр.,जी श्रीमान।
53,THREEPIO,How did I get into this mess?  I really don't know how.  We seem to be made to suffer.  It's our lot in life.,"Как я попал в этот беспорядок?Я действительно не знаю, как.Кажется, мы заставляем себя страдать.Это наша судьба в жизни.",मैं इस गंदगी में कैसे आया?मैं वास्तव में नहीं जानता कि कैसे।हमें पीड़ित होने के लिए बनाया गया है।यह जीवन में हमारा बहुत कुछ है।
54,THREEPIO,I've got to rest before I fall apart.  My joints are almost frozen. ,"Я должен отдохнуть, прежде чем развалиться.Мои суставы почти заморожены.","इससे पहले कि मैं अलग हो जाऊं, मुझे आराम करने के लिए मिला।मेरे जोड़ लगभग जमे हुए हैं।"
55,THREEPIO,What a desolate place this is.,Что это за пустынное место.,यह क्या उजाड़ जगह है।
56,THREEPIO,Where are you going?,Куда ты идешь?,आप कहां जा रहे हैं?
57,THREEPIO,"Well, I'm not going that way.  It's much too rocky.  This way is much easier.","Ну, я не пойду так.Это слишком скалистый.Таким образом намного проще.","खैर, मैं इस तरह से नहीं जा रहा हूं।यह बहुत ज्यादा चट्टानी है।इस तरह से बहुत आसान है।"
58,THREEPIO,What makes you think there are settlements over there?,"Что заставляет вас думать, что там есть поселения?",आपको क्या लगता है कि वहाँ पर बस्तियां हैं?
59,THREEPIO,Don't get technical with me.,Не станьте техническим со мной.,मेरे साथ तकनीकी मत बनो।
60,THREEPIO,"What mission?  What are you talking about?  I've had just about enough of you!  Go that way!  You'll be malfunctioning within a day, you nearsighted scrap pile!","Какая миссия?О чем ты говоришь?У меня было достаточно тебя!Иди так!Вы будете неисправны в течение дня, вы близорукую кучу лома!","क्या मिशन?तुम किस बारे में बात कर रहे हो?मैं सिर्फ आप के बारे में पर्याप्त है!उस रास्ते जाओ!आप एक दिन के भीतर खराबी हो जाएंगे, आप स्क्रैप ढेर के पास हैं!"
61,THREEPIO,"And don't let me catch you following me begging for help, because you won't get it.","И не позволяй мне поймать тебя, следуя за мной, прося о помощи, потому что ты не получишь ее.","और मुझे मदद के लिए भीख मांगने के बाद आपको पकड़ने न दें, क्योंकि आप इसे नहीं मिलेंगे।"
62,THREEPIO,No more adventures.  I'm not going that way.,Нет больше приключений.Я не пойду так.,कोई और रोमांच नहीं।मैं इस तरह से नहीं जा रहा हूं।
63,THREEPIO,"That malfunctioning little twerp.  This is all his fault!  He tricked me into going this way, but he'll do no better.","Этот неисправный маленький Twerp.Это все его вина!Он обманул меня, чтобы пойти так, но он не сделает лучше.","वह खराबी छोटी सी ट्वीप।यह सब उसकी गलती है!उसने मुझे इस तरह से जाने के लिए धोखा दिया, लेकिन वह बेहतर नहीं करेगा।"
64,THREEPIO,"Wait, what's that?  A transport!  I'm saved!","Подожди, что это?Транспорт!Я спасен!","रुको, वह क्या है?एक परिवहन!मैं बच गया हूँ!"
65,THREEPIO,"Over here!  Help!  Please, help!",Здесь!Помощь!Пожалуйста помоги!,आस - पास!मदद करना!कृपया मदद करे!
66,LUKE,"... so I cut off my power, shut down the afterburners and came in low on Deak's trail.  I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad.  Uncle Owen was pretty upset.  He grounded me for the rest of the season.  You should have been there... it was fantastic.","... Итак, я отрезал свою силу, выключите послепончики и оказался низким по тропе Дика.Я был так близок, что думал, что собираюсь жарить свои инструменты.Как это было, я разозлил Skyhopper довольно плохо.Дядя Оуэн был очень расстроен.Он обосновал меня до конца сезона.Вы должны были быть там ... это было фантастически.","... इसलिए मैंने अपनी शक्ति को काट दिया, afterburners को बंद कर दिया और Deak के निशान पर कम आ गया।मैं बहुत करीब था मुझे लगा कि मैं अपने उपकरणों को भूनने जा रहा हूं।जैसा कि मैंने स्काईहॉपर को बहुत बुरा किया था।अंकल ओवेन बहुत परेशान थे।उन्होंने मुझे बाकी सीज़न के लिए तैयार किया।आपको वहाँ होना चाहिए था ... यह शानदार था।"
67,BIGGS,"You ought to take it a little easy Luke.  You may be the hottest bushpilot this side of Mos Eisley, but those little Skyhoppers are dangerous.  Keep it up, and one day, whammo, you're going to be nothing more than a dark spot on the down side of a canyon wall.","Вы должны взять немного легко, Люк.Вы можете быть самым горячим кустарником в этой стороне MOS Eisley, но эти маленькие Skyhoppers опасны.Продолжайте, и однажды, Whammo, вы будете не чем иным, как темным пятном на стороне стены каньона.","आपको इसे थोड़ा आसान ल्यूक लेना चाहिए।आप MOS EISLEY के इस पक्ष के सबसे गर्म बुशपिलोट हो सकते हैं, लेकिन उन छोटे स्काईहॉपर्स खतरनाक हैं।इसे बनाए रखें, और एक दिन, वामो, आप एक घाटी की दीवार के नीचे की तरफ एक अंधेरे स्थान से ज्यादा कुछ नहीं होने जा रहे हैं।"
68,LUKE,Look who's talking.  Now that you've been around those giant starships you're beginning to sound like my uncle. You've gotten soft in the city...,"Кто бы говорил.Теперь, когда вы были рядом с этими гигантскими звездными кораблями, вы начинаете звучать как мой дядя.Вы стали мягкими в городе ...","कौन बात कर रहा देखो।अब जब आप उन विशाल स्टारशिप के आसपास रहे हैं, तो आप मेरे चाचा की तरह लगने लगे हैं।आप शहर में नरम हो गए हैं ..."
69,BIGGS,I've missed you kid.,"Я скучал по тебе, ребенок.",मैं तुम्हें याद किया है बच्चे।
70,LUKE,"Well, things haven't been the same since you left, Biggs.  It's been so...quiet.","Ну, с тех пор, как ты ушел, Биггс.Это было так ... тихо.","खैर, जब से आप चले गए, तब से चीजें समान नहीं हैं, बिग्स।यह बहुत है ... शांत।"
71,BIGGS,"Luke, I didn't come back just to say goodbye...  I shouldn't tell you this, but you're the only one I can trust... and if I don't come back, I want somebody to know.","Люк, я не вернулся, просто чтобы попрощаться ... я не должен тебе это говорить, но ты единственный, кому я могу доверять ... и если я не вернусь, я хочу, чтобы кто -нибудь зналПолем","ल्यूक, मैं सिर्फ अलविदा कहने के लिए वापस नहीं आया ... मुझे आपको यह नहीं बताना चाहिए, लेकिन आप केवल एक ही हैं जिस पर मैं भरोसा कर सकता हूं ... और अगर मैं वापस नहीं आता, तो मैं चाहता हूं।"
72,LUKE,What are you talking about?,О чем ты говоришь?,तुम किस बारे में बात कर रहे हो?
73,BIGGS,"I made some friends at the Academy. ... when our frigate goes to one of the central systems, we're going to jump ship and join the Alliance...","Я подружился с друзьями в академии.... Когда наш фрегат отправится в одну из центральных систем, мы собираемся прыгнуть корабль и присоединиться к альянсу ...","मैंने अकादमी में कुछ दोस्त बनाए।... जब हमारा फ्रिगेट केंद्रीय प्रणालियों में से एक पर जाता है, तो हम जहाज कूदने जा रहे हैं और गठबंधन में शामिल हो जाते हैं ..."
74,LUKE,Join the Rebellion?!  Are you kidding!  How?,Присоединяйтесь к восстанию?!Вы шутите!Как?,विद्रोह में शामिल हों?!क्या तुम मजाक कर रहे हो!कैसे?
75,BIGGS,Quiet down will ya!  You got a mouth bigger than a meteor crater!,"Тихо, буду ли!У тебя рот больше метеорного кратера!",शांत हो जाएगा फिर!आपको एक उल्का गड्ढा से बड़ा मुंह मिला!
76,LUKE,I'm sorry.  I'm quiet. Listen how quiet I am.  You can barely hear me...,"Мне жаль.Я тихо.Слушай, как я тихо.Ты едва слышишь меня ...",मुझे माफ़ करें।मैं चुप हुँ।सुनो कि मैं कितना शांत हूं।आप मुश्किल से मुझे सुन सकते हैं ...
77,BIGGS,My friend has a friend on Bestine who might help us make contact.,"У моего друга есть друг на Bestine, который может помочь нам вступить в контакт.",मेरे दोस्त के पास बेस्टाइन पर एक दोस्त है जो हमें संपर्क बनाने में मदद कर सकता है।
78,LUKE,around forever trying to find them.,вокруг навсегда пытается их найти.,हमेशा के लिए उन्हें खोजने की कोशिश कर रहा है।
79,BIGGS,"I know it's a long shot, but if I don't find them I'll do what I can on my own...  It's what we always talked about.  Luke, I'm not going to wait for the Empire to draft me into service.  The Rebellion is spreading and I want to be on the right side - the side I believe in. ","Я знаю, что это длинный выстрел, но если я не найду их, я сделаю то, что могу самостоятельно ... это то, о чем мы всегда говорили.Люк, я не собираюсь ждать, пока империя составит меня на службу.Восстание распространяется, и я хочу быть на правой стороне - сторона, в которую я верю.","मुझे पता है कि यह एक लंबा शॉट है, लेकिन अगर मैं उन्हें नहीं पाऊंगा तो मैं वही करूंगा जो मैं अपने दम पर कर सकता हूं ... यह वही है जिसके बारे में हमने हमेशा बात की थी।ल्यूक, मैं साम्राज्य के लिए मुझे सेवा में मसौदा तैयार करने का इंतजार नहीं करने जा रहा हूं।विद्रोह फैल रहा है और मैं दाईं ओर होना चाहता हूं - जिस पक्ष में मैं विश्वास करता हूं।"
80,LUKE,And I'm stuck here...,И я застрял здесь ...,और मैं यहाँ फंस गया हूँ ...
81,BIGGS,I thought you were going to the Academy next term.  You'll get your chance to get off this rock.,"Я думал, что ты собираешься в академию в следующем семестре.Вы получите свой шанс выйти из этого камня.",मुझे लगा कि आप अगले कार्यकाल में अकादमी जा रहे हैं।आपको इस चट्टान से उतरने का मौका मिलेगा।
82,LUKE,Not likely!  I had to cancel my application.  There has been a lot of unrest among the Sand People since you left... they've even raided the outskirts of Anchorhead.,"Скорее всего, не!Мне пришлось отменить свою заявку.С тех пор, как вы ушли, среди песчаных людей было много волнений ... они даже совершили набег на окраины якоря.",संभावना नहीं!मुझे अपना आवेदन रद्द करना था।आपके जाने के बाद से रेत के लोगों के बीच बहुत अशांति हुई है ... उन्होंने एंकरहेड के बाहरी इलाके में भी छापा मारा है।
83,BIGGS,Your uncle could hold off a whole colony of Sand People with one blaster.,Ваш дядя может удержать целую колонию песчаных людей одним бластером.,आपके चाचा एक ब्लास्टर के साथ रेत के लोगों की एक पूरी कॉलोनी को पकड़ सकते हैं।
84,LUKE,"I know, but he's got enough vaporators going to make the place pay off.  He needs me for just one more season.  I can't leave him now.","Я знаю, но у него достаточно падаторов, которые собираются заставлять место окупаться.Он нуждается во мне всего лишь один сезон.Я не могу оставить его сейчас.","मुझे पता है, लेकिन वह जगह का भुगतान करने के लिए पर्याप्त वाष्पीकरण करने वालों को मिला है।उसे सिर्फ एक और सीज़न के लिए चाहिए।मैं अब उसे नहीं छोड़ सकता।"
85,BIGGS,"I feel for you, Luke, you're going to have to learn what seems to be important or what really is important.  What good is all your uncle's work if it's taken over by the Empire?...  You know they're starting to nationalize commerce in the central systems...it won't be long before your uncle is merely a tenant, slaving for the greater glory of the Empire.","Я чувствую к вам, Люк, вам придется узнать, что кажется важным или что действительно важно.Что хорошего в хорошей работе, если она перенесла им империю? ... вы знаете, что они начинают национализировать коммерцию в центральных системах ... это не задолго до того, как ваш дядя станет просто арендатором, рабство дляБольшая слава империи.","मैं आपके लिए महसूस करता हूं, ल्यूक, आप सीखने जा रहे हैं कि क्या महत्वपूर्ण लगता है या वास्तव में क्या महत्वपूर्ण है।अगर यह साम्राज्य द्वारा लिया जाता है तो आपके सभी चाचा का काम क्या है? ... आप जानते हैंसाम्राज्य की अधिक महिमा।"
86,LUKE,It couldn't happen here.  You said it yourself.  The Empire won't bother with this rock.,Это не могло произойти здесь.Вы сказали это сами.Империя не будет беспокоиться об этом камне.,यह यहाँ नहीं हो सकता है।आपने खुद कहा।साम्राज्य इस चट्टान से परेशान नहीं होगा।
87,BIGGS,Things always change.,Вещи всегда меняются.,चीजें हमेशा बदलती हैं।
88,LUKE,I wish I was going...  Are you going to be around long? ,Хотел бы я поехать ... ты собираешься быть рядом?,काश मैं जा रहा होता ... क्या आप लंबे समय तक रहने वाले हैं?
89,BIGGS,"No, I'm leaving in the morning...","Нет, я уезжаю утром ...","नहीं, मैं सुबह जा रहा हूँ ..."
90,LUKE,Then I guess I won't see you.,"Тогда я думаю, я тебя не увижу.",तब मुझे लगता है कि मैं आपको नहीं देखूंगा।
91,BIGGS,Maybe someday...  I'll keep a lookout.,"Может быть, когда -нибудь ... Я буду продолжать смотреть.",शायद किसी दिन ... मैं एक नज़र रखूंगा।
92,LUKE,"Well, I'll be at the Academy next season... after that who knows.  I won't be drafted into the Imperial Starfleet that's for sure...  Take care of yourself, you'll always be the best friend I've got.","Ну, я буду в академии в следующем сезоне ... после этого кто знает.Меня не будет призван в Имперский Звездный Флот, что наверняка ... позаботьтесь о себе, вы всегда будете лучшим другом, который у меня есть.","खैर, मैं अगले सीजन में अकादमी में रहूंगा ... उसके बाद कौन जानता है।मुझे इंपीरियल Starfleet में ड्राफ्ट नहीं किया जाएगा जो निश्चित रूप से है ... अपना ख्याल रखें, आप हमेशा सबसे अच्छे दोस्त होंगे जो मुझे मिला है।"
93,BIGGS,"So long, Luke.","Так долго, Люк.","इतना लंबा, ल्यूक।"
94,THREEPIO,Artoo-Detoo!  It's you!  It's you!,Artoo-detoo!Это ты!Это ты!,Artoo-Detoo!यह आप है!यह आप है!
95,FIRST TROOPER,Someone was in the pod.  The tracks go off in this direction. ,Кто -то был в капсуле.Треки уходят в этом направлении.,कोई फली में था।ट्रैक इस दिशा में चले जाते हैं।
96,SECOND TROOPER,"Look, sir - droids.","Смотри, сэр - дроиды.","देखो, सर - droids।"
97,THREEPIO,Wake up!  Wake up!,Проснуться!Проснуться!,जागो!जागो!
98,THREEPIO,We're doomed.,Мы обречены.,हम बर्बाद हो रहे हैं।
99,THREEPIO,Do you think they'll melt us down?,"Как вы думаете, они растопит нас?",क्या आपको लगता है कि वे हमें नीचे पिघला देंगे?
100,THREEPIO,Don't shoot!  Don't shoot!  Will this never end?,Не стреляй!Не стреляй!Это никогда не закончится?,गोली मत करो!गोली मत करो!क्या यह कभी खत्म नहीं होगा?
101,BERU,"Luke, tell Owen that if he gets a translator to be sure it speaks Bocce.","Люк, скажи Оуэну, что если он получает переводчика, чтобы убедиться, что он говорит о Боксе.","ल्यूक, ओवेन को बताएं कि अगर उसे एक अनुवादक मिलता है तो यह सुनिश्चित करने के लिए कि वह बोकेस बोलता है।"
102,LUKE,It looks like we don't have much of a choice but I'll remind him.,"Похоже, у нас нет большого выбора, но я напомню ему.","ऐसा लगता है कि हमारे पास कोई विकल्प नहीं है, लेकिन मैं उसे याद दिलाऊंगा।"
103,OWEN,I have no need for a protocol droid.,Я не нуждаюсь в протоколе -дроиде.,मुझे एक प्रोटोकॉल ड्रॉइड की कोई आवश्यकता नहीं है।
